isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab	id	duplicate
A/NewYork/46/2017	2017-11-29T05:00:00Z	2018-01-16T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	10	FALSE
A/NewYork/24/2017	2017-02-01T05:00:00Z	2017-05-31T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	14	FALSE
A/NewYork/25/2017	2017-02-07T05:00:00Z	2017-05-31T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	15	FALSE
A/NewYork/23/2017	2017-01-07T05:00:00Z	2017-05-31T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	16	FALSE
A/NewYork/26/2017	2017-04-01T04:00:00Z	2017-05-31T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	17	FALSE
A/NewYork/09/2017	2017-02-08T05:00:00Z	2017-04-07T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	18	FALSE
A/NewYork/08/2017	2017-01-30T05:00:00Z	2017-04-07T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	20	FALSE
A/NewYork/04/2017	2017-01-04T05:00:00Z	2017-03-21T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	22	FALSE
A/NewYork/05/2017	2017-01-18T05:00:00Z	2017-03-21T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	23	FALSE
A/NewYork/69/2016	2016-04-06T04:00:00Z	2016-09-02T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	26	FALSE
A/NewYork/76/2016	2016-04-26T04:00:00Z	2016-08-02T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	28	FALSE
A/NewYork/67/2016	2016-04-01T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	29	FALSE
A/NewYork/65/2016	2016-03-28T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	30	FALSE
A/NewYork/70/2016	2016-04-11T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	31	FALSE
A/NewYork/66/2016	2016-03-29T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	32	FALSE
A/NewYork/79/2016	2016-04-29T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	33	FALSE
A/NewYork/75/2016	2016-04-25T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	34	FALSE
A/NewYork/73/2016	2016-04-20T04:00:00Z	2016-07-22T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	35	FALSE
A/NewYork/36/2016	2016-03-16T04:00:00Z	2016-06-28T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	36	FALSE
