isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab
A/NewYork/61A/2003	2003-12-20		A/H3N2		  	 Other Database Import
A/NewYork/28/2003	2003-11-19		A/H3N2		  	 Other Database Import
A/NewYork/30/2003	2003-12-02		A/H3N2		  	 Other Database Import
A/NewYork/32/2003	2003-11-29		A/H3N2		  	 Other Database Import
A/NewYork/33/2004	2004-01-09		A/H3N2		  	 Other Database Import
A/NewYork/34/2003	2003-12-03		A/H3N2		  	 Other Database Import
A/NewYork/35/2003	2003-12-04		A/H3N2		  	 Other Database Import
A/NewYork/36/2003	2003-12-10		A/H3N2		  	 Other Database Import
A/NewYork/45/2003	2003-12-09		A/H3N2		  	 Other Database Import
A/NewYork/47/2003	2003-12-12		A/H3N2		  	 Other Database Import
A/NewYork/48/2003	2003-12-09		A/H3N2		  	 Other Database Import
A/NewYork/50/2003	2003-12-08		A/H3N2		  	 Other Database Import
A/NewYork/54/2003	2003-12-10		A/H3N2		  	 Other Database Import
A/NewYork/60A/2003	2003-12-15		A/H3N2		  	 Other Database Import
A/NewYork/110/2002	2002-01-29		A/H3N2		  	 Other Database Import
A/NewYork/12/2003	2003-12-13		A/H3N2		  	 Other Database Import
A/NewYork/26/2003	2003-12-02		A/H3N2		  	 Other Database Import
A/NewYork/40/2003	2003-12-04		A/H3N2		  	 Other Database Import
A/NewYork/41/2003	2003-12-08		A/H3N2		  	 Other Database Import
A/NewYork/42/2003	2003-12-08		A/H3N2		  	 Other Database Import
A/NewYork/43/2003	2003-12-10		A/H3N2		  	 Other Database Import
A/NewYork/44/2003	2003-12-08		A/H3N2		  	 Other Database Import
A/NewYork/83/2001	2001-12-15		A/H3N2		  	 Other Database Import
A/NewYork/23/2003	2003-12-16		A/H3N2		  	 Other Database Import
A/NewYork/84/2001	2001-12-29		A/H3N2		  	 Other Database Import
A/NewYork/91/2002	2002-01-17		A/H3N2		  	 Other Database Import
A/NewYork/95/2002	2002-02-26		A/H3N2		  	 Other Database Import
A/NewYork/100/2002	2002-01-22		A/H3N2		  	 Other Database Import
A/NewYork/113/2002	2002-01-31		A/H3N2		  	 Other Database Import
A/NewYork/121/2002	2002-02-26		A/H3N2		  	 Other Database Import
A/NewYork/19/2003	2003-12-18		A/H3N2		  	 Other Database Import
A/NewYork/52/2004	2004-02-05		A/H3N2		  	 Other Database Import
A/NewYork/53/2003	2003-12-11		A/H3N2		  	 Other Database Import
A/NewYork/82/2001	2001-12-26		A/H3N2		  	 Other Database Import
A/NewYork/86/2002	2002-03-01		A/H3N2		  	 Other Database Import
A/NewYork/92/2002	2002-01-18		A/H3N2		  	 Other Database Import
A/NewYork/96/2002	2002-01-18		A/H3N2		  	 Other Database Import
A/NewYork/124/2001	2001-11-27		A/H3N2		  	 Other Database Import
A/NewYork/129/2002	2002-02-12		A/H3N2		  	 Other Database Import
A/NewYork/131/2001	2001-12-23		A/H3N2		  	 Other Database Import
A/NewYork/133/2002	2002-02-06		A/H3N2		  	 Other Database Import
A/NewYork/135/2002	2002-02-14		A/H3N2		  	 Other Database Import
A/NewYork/15/2003	2003-11-12		A/H3N2		  	 Other Database Import
A/NewYork/21/2003	2003-11-26		A/H3N2		  	 Other Database Import
A/NewYork/22/2003	2003-12-02		A/H3N2		  	 Other Database Import
A/NewYork/31/2004	2004-01-05		A/H3N2		  	 Other Database Import
A/NewYork/49/2003	2003-12-18		A/H3N2		  	 Other Database Import
A/NewYork/85/2001	2001-12-31		A/H3N2		  	 Other Database Import
A/NewYork/87/2002	2002-01-08		A/H3N2		  	 Other Database Import
A/NewYork/89/2002	2002-01-12		A/H3N2		  	 Other Database Import
A/NewYork/90/2002	2002-02-06		A/H3N2		  	 Other Database Import
A/NewYork/103/2002	2002-01-25		A/H3N2		  	 Other Database Import
A/NewYork/128/2002	2002-01-25		A/H3N2		  	 Other Database Import
A/NewYork/132/2002	2002-01-27		A/H3N2		  	 Other Database Import
A/NewYork/134/2002	2002-01-04		A/H3N2		  	 Other Database Import
A/NewYork/149/1999	1999-11-29		A/H3N2		  	 Other Database Import
A/NewYork/150/2000	2000-01-28		A/H3N2		  	 Other Database Import
A/NewYork/71/2001	2001-11-22		A/H3N2		  	 Other Database Import
A/NewYork/106/2002	2002-01-20		A/H3N2		  	 Other Database Import
A/NewYork/108/2002	2002-01-31		A/H3N2		  	 Other Database Import
A/NewYork/4/2003	2003-12-08		A/H3N2		  	 Other Database Import
A/NewYork/11/2003	2003-10-31		A/H3N2		  	 Other Database Import
A/NewYork/29/2003	2003-12-12		A/H3N2		  	 Other Database Import
A/NewYork/109/2002	2002-01-30		A/H3N2		  	 Other Database Import
A/NewYork/114/2002	2002-03-05		A/H3N2		  	 Other Database Import
A/NewYork/115/2002	2002-02-07		A/H3N2		  	 Other Database Import
A/NewYork/116/2002	2002-01-30		A/H3N2		  	 Other Database Import
A/NewYork/69/2004	2004-01-06		A/H3N2		  	 Other Database Import
A/NewYork/80/2001	2001-12-26		A/H3N2		  	 Other Database Import
A/NewYork/127/2001	2001-12-31		A/H3N2		  	 Other Database Import
A/NewYork/130/2002	2002-03-11		A/H3N2		  	 Other Database Import
A/NewYork/147/1999	1999-11-23		A/H3N2		  	 Other Database Import
A/NewYork/151/1999	1999-12-04		A/H3N2		  	 Other Database Import
A/NewYork/154/2000	2000-01-24		A/H3N2		  	 Other Database Import
A/NewYork/161/1999	1999-12-16		A/H3N2		  	 Other Database Import
A/NewYork/120/2002	2002-02-19		A/H3N2		  	 Other Database Import
A/NewYork/143/1999	1999-11-26		A/H3N2		  	 Other Database Import
A/NewYork/163/1999	1999-12-22		A/H3N2		  	 Other Database Import
A/NewYork/167/1999	1999-12-30		A/H3N2		  	 Other Database Import
A/NewYork/169/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/170/2000	2000-01-05		A/H3N2		  	 Other Database Import
A/NewYork/171/1999	1999-12-30		A/H3N2		  	 Other Database Import
A/NewYork/172/1999	1999-12-26		A/H3N2		  	 Other Database Import
A/NewYork/173/2000	2000-02-02		A/H3N2		  	 Other Database Import
A/NewYork/174/2000	2000-01-04		A/H3N2		  	 Other Database Import
A/NewYork/175/2000	2000-01-06		A/H3N2		  	 Other Database Import
A/NewYork/176/2000	2000-03-01		A/H3N2		  	 Other Database Import
A/NewYork/473/2003	2003-11-24		A/H3N2		  	 Other Database Import
A/NewYork/474/2003	2003-12-31		A/H3N2		  	 Other Database Import
A/NewYork/475/2003	2003-12-08	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/476/2003	2003-12-15		A/H3N2		  	 Other Database Import
A/NewYork/478/2003	2003-11-21		A/H3N2		  	 Other Database Import
A/NewYork/498/2004	2004-01-13		A/H3N2		  	 Other Database Import
A/NewYork/479/2003	2003-11-12		A/H3N2		  	 Other Database Import
A/NewYork/504/1998	1998-01-01		A/H3N2		  	 Other Database Import
A/NewYork/507/1997	1997-12-17		A/H3N2		  	 Other Database Import
A/NewYork/514/1998	1998-01-13		A/H3N2		  	 Other Database Import
A/NewYork/529/1998	1998-02-28		A/H3N2		  	 Other Database Import
A/NewYork/530/1998	1998-01-19		A/H3N2		  	 Other Database Import
A/NewYork/540/1998	1998-02-15		A/H3N2		  	 Other Database Import
A/NewYork/549/1998	1998-01-19		A/H3N2		  	 Other Database Import
A/NewYork/550/1998	1998-01-25		A/H3N2		  	 Other Database Import
A/NewYork/477/2003	2003-11-19		A/H3N2		  	 Other Database Import
A/NewYork/480/2004	2004-01-12		A/H3N2		  	 Other Database Import
A/NewYork/499/2004	2004-01-15		A/H3N2		  	 Other Database Import
A/NewYork/500/2004	2004-12-10		A/H3N2		  	 Other Database Import
A/NewYork/560/1997	1997-01-06	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/564/1997	1997-01-02		A/H3N2		  	 Other Database Import
A/NewYork/565/1996	1996-12-02		A/H3N2		  	 Other Database Import
A/NewYork/569/1997	1997-01-03		A/H3N2		  	 Other Database Import
A/NewYork/570/1996	1996-12-12		A/H3N2		  	 Other Database Import
A/NewYork/573/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/575/1996	1996-12-17		A/H3N2		  	 Other Database Import
A/NewYork/579/1997	1997-01-02		A/H3N2		  	 Other Database Import
A/NewYork/583/1997	1997-03-01		A/H3N2		  	 Other Database Import
A/NewYork/558/1997	1997-01-06		A/H3N2		  	 Other Database Import
A/NewYork/566/1997	1997-01-17		A/H3N2		  	 Other Database Import
A/NewYork/568/1996	1996-12-11		A/H3N2		  	 Other Database Import
A/NewYork/574/1996	1996-12-12		A/H3N2		  	 Other Database Import
A/NewYork/576/1997	1997-01-06		A/H3N2		  	 Other Database Import
A/NewYork/580/1996	1996-12-05		A/H3N2		  	 Other Database Import
A/NewYork/581/1997	1997-01-17		A/H3N2		  	 Other Database Import
A/NewYork/585/1997	1997-01-22		A/H3N2		  	 Other Database Import
A/NewYork/586/1996	1996-12-21		A/H3N2		  	 Other Database Import
A/NewYork/587/1996	1996-11-18		A/H3N2		  	 Other Database Import
A/NewYork/588/1996	1996-12-28		A/H3N2		  	 Other Database Import
A/NewYork/589/1996	1996-12-18		A/H3N2		  	 Other Database Import
A/NewYork/590/1996	1996-12-10		A/H3N2		  	 Other Database Import
A/NewYork/597/1997	1997-01-06		A/H3N2		  	 Other Database Import
A/NewYork/584/1996	1996-12-31		A/H3N2		  	 Other Database Import
A/NewYork/593/1996	1996-12-09		A/H3N2		  	 Other Database Import
A/NewYork/536/1998	1998-02-03		A/H3N2		  	 Other Database Import
A/NewYork/562/1996	1996-12-13		A/H3N2		  	 Other Database Import
A/NewYork/563/1996	1996-11-12		A/H3N2		  	 Other Database Import
A/NewYork/567/1996	1996-12-05		A/H3N2		  	 Other Database Import
A/NewYork/582/1996	1996-12-02		A/H3N2		  	 Other Database Import
A/NewYork/591/1996	1996-12-20		A/H3N2		  	 Other Database Import
A/NewYork/592/1996	1996-12-04		A/H3N2		  	 Other Database Import
A/NewYork/594/1996	1996-11-18		A/H3N2		  	 Other Database Import
A/NewYork/595/1996	1996-12-18		A/H3N2		  	 Other Database Import
A/NewYork/596/1996	1996-12-12		A/H3N2		  	 Other Database Import
A/NewYork/600/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/617/1996	1996-03-19		A/H3N2		  	 Other Database Import
A/NewYork/572/1996	1996-12-12		A/H3N2		  	 Other Database Import
A/NewYork/578/1996	1996-12-27		A/H3N2		  	 Other Database Import
A/NewYork/561/1996	1996-12-22		A/H3N2		  	 Other Database Import
A/NewYork/603/1996	1996-12-09		A/H3N2		  	 Other Database Import
A/NewYork/606/1995	1995-11-28		A/H3N2		  	 Other Database Import
A/NewYork/608/1996	1996-04-01		A/H3N2		  	 Other Database Import
A/NewYork/609/1995	1995-12-18		A/H3N2		  	 Other Database Import
A/NewYork/610/1995	1995-12-18		A/H3N2		  	 Other Database Import
A/NewYork/611/1995	1995-12-28		A/H3N2		  	 Other Database Import
A/NewYork/612/1995	1995-12-19		A/H3N2		  	 Other Database Import
A/NewYork/613/1996	1996-01-10		A/H3N2		  	 Other Database Import
A/NewYork/618/1995	1995-12-28		A/H3N2		  	 Other Database Import
A/NewYork/619/1996	1996-01-10		A/H3N2		  	 Other Database Import
A/NewYork/622/1996	1996-01-08		A/H3N2		  	 Other Database Import
A/NewYork/625/1996	1996-01-15		A/H3N2		  	 Other Database Import
A/NewYork/628/1995	1995-12-12		A/H3N2		  	 Other Database Import
A/NewYork/631/1996	1996-04-04		A/H3N2		  	 Other Database Import
A/NewYork/634/1995	1995-12-08		A/H3N2		  	 Other Database Import
A/NewYork/637/1996	1996-01-17		A/H3N2		  	 Other Database Import
A/NewYork/648/1995	1995-12-14		A/H3N2		  	 Other Database Import
A/NewYork/555/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/623/1995	1995-12-29		A/H3N2		  	 Other Database Import
A/NewYork/733/1994	1994-02-07		A/H3N2		  	 Other Database Import
A/NewYork/599/1996	1996-12-16		A/H3N2		  	 Other Database Import
A/NewYork/602/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/557/1996	1996-11-21		A/H3N2		  	 Other Database Import
A/NewYork/559/1996	1996-11-25		A/H3N2		  	 Other Database Import
A/NewYork/692/1995	1995-01-18		A/H3N2		  	 Other Database Import
A/NewYork/695/1995	1995-03-02		A/H3N2		  	 Other Database Import
A/NewYork/696/1994	1994-12-30		A/H3N2		  	 Other Database Import
A/NewYork/697/1995	1995-02-10		A/H3N2		  	 Other Database Import
A/NewYork/698/1995	1995-01-31		A/H3N2		  	 Other Database Import
A/NewYork/702/1995	1995-01-09		A/H3N2		  	 Other Database Import
A/NewYork/703/1995	1995-01-24		A/H3N2		  	 Other Database Import
A/NewYork/708/1994	1994-01-11		A/H3N2		  	 Other Database Import
A/NewYork/732/1994	1994-01-06		A/H3N2		  	 Other Database Import
A/NewYork/571/1996	1996-12-18		A/H3N2		  	 Other Database Import
A/NewYork/577/1996	1996-12-24		A/H3N2		  	 Other Database Import
A/NewYork/624/1996	1996-02-16		A/H3N2		  	 Other Database Import
A/NewYork/632/1996	1996-03-01		A/H3N2		  	 Other Database Import
A/NewYork/635/1996	1996-01-18		A/H3N2		  	 Other Database Import
A/NewYork/636/1996	1996-01-22	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/641/1996	1996-01-03		A/H3N2		  	 Other Database Import
A/NewYork/654/1994	1994-11-03		A/H3N2		  	 Other Database Import
A/NewYork/658/1995	1995-02-21		A/H3N2		  	 Other Database Import
A/NewYork/659/1994	1994-12-08		A/H3N2		  	 Other Database Import
A/NewYork/662/1995	1995-01-09		A/H3N2		  	 Other Database Import
A/NewYork/665/1994	1994-12-16		A/H3N2		  	 Other Database Import
A/NewYork/669/1995	1995-01-11		A/H3N2		  	 Other Database Import
A/NewYork/671/1995	1995-01-06		A/H3N2		  	 Other Database Import
A/NewYork/672/1995	1995-01-17		A/H3N2		  	 Other Database Import
A/NewYork/674/1995	1995-01-19		A/H3N2		  	 Other Database Import
A/NewYork/679/1995	1995-03-03		A/H3N2		  	 Other Database Import
A/NewYork/693/1995	1995-03-21		A/H3N2		  	 Other Database Import
