isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab	id	duplicate
B/NewYork/52/2016	2016-10-07T04:00:00Z	2017-10-17T04:00:00Z	B/H0N0	Victoria	 Centers for Disease Control and Prevention 	 WHO Collaborating Centre for Reference and Research on Influenza	2	FALSE
B/NewYork/18/2018	2018-04-27T04:00:00Z	2018-06-06T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	3	FALSE
B/NewYork/14/2018	2018-03-29T04:00:00Z	2018-05-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	4	FALSE
B/NewYork/11/2018	2018-03-06T05:00:00Z	2018-05-01T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	5	FALSE
B/NewYork/09/2018	2018-02-21T05:00:00Z	2018-04-03T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	6	FALSE
B/NewYork/06/2018	2018-02-19T05:00:00Z	2018-03-19T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	7	FALSE
B/NewYork/03/2018	2018-01-24T05:00:00Z	2018-03-13T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	8	FALSE
B/NewYork/31/2017	2017-03-27T04:00:00Z	2017-08-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	9	FALSE
B/NewYork/30/2017	2017-03-23T04:00:00Z	2017-08-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	10	FALSE
B/NewYork/29/2017	2017-03-04T05:00:00Z	2017-08-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	11	FALSE
B/NewYork/28/2017	2017-03-01T05:00:00Z	2017-08-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	12	FALSE
B/NewYork/27/2017	2017-02-21T05:00:00Z	2017-08-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	13	FALSE
B/NewYork/26/2017	2017-03-24T04:00:00Z	2017-07-05T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	14	FALSE
B/NewYork/25/2017	2017-03-22T04:00:00Z	2017-07-05T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	15	FALSE
B/NewYork/20/2017	2017-04-02T04:00:00Z	2017-05-25T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	16	FALSE
B/NewYork/14/2017	2017-03-16T04:00:00Z	2017-05-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	17	FALSE
B/NewYork/11/2017	2017-03-11T05:00:00Z	2017-05-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	18	FALSE
B/NewYork/17/2017	2017-04-02T04:00:00Z	2017-05-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	19	FALSE
B/NewYork/10/2017	2017-03-05T05:00:00Z	2017-04-26T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	22	FALSE
B/NewYork/09/2017	2017-03-05T05:00:00Z	2017-04-26T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	23	FALSE
B/NewYork/05/2017	2017-02-08T05:00:00Z	2017-04-07T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	24	FALSE
B/NewYork/04/2017	2017-02-08T05:00:00Z	2017-04-07T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	25	FALSE
B/NewYork/01/2017	2017-01-15T05:00:00Z	2017-02-13T05:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	27	FALSE
B/NewYork/51/2016	2016-06-21T04:00:00Z	2016-09-08T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	30	FALSE
B/NewYork/46/2016	2016-05-03T04:00:00Z	2016-08-02T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	31	FALSE
B/NewYork/42/2016	2016-04-13T04:00:00Z	2016-07-27T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	33	FALSE
B/NewYork/48/2016	2016-05-07T04:00:00Z	2016-07-27T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	34	FALSE
B/NewYork/47/2016	2016-05-07T04:00:00Z	2016-07-27T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	36	FALSE
B/NewYork/29/2016	2016-04-04T04:00:00Z	2016-07-26T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	37	FALSE
B/NewYork/36/2016	2016-04-23T04:00:00Z	2016-07-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	38	FALSE
B/NewYork/39/2016	2016-05-03T04:00:00Z	2016-07-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	39	FALSE
B/NewYork/34/2016	2016-04-16T04:00:00Z	2016-07-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	40	FALSE
B/NewYork/28/2016	2016-04-04T04:00:00Z	2016-06-03T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	42	FALSE
B/NewYork/32/2016	2016-04-09T04:00:00Z	2016-06-03T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	43	FALSE
B/NewYork/21/2016	2016-03-10T05:00:00Z	2016-05-27T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	44	FALSE
B/NewYork/23/2016	2016-03-07T05:00:00Z	2016-05-12T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	46	FALSE
B/NewYork/20/2016	2016-03-10T05:00:00Z	2016-05-12T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	47	FALSE
B/NewYork/12/2016	2016-02-16T05:00:00Z	2016-05-12T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	48	FALSE
B/NewYork/13/2016	2016-02-18T05:00:00Z	2016-04-20T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	49	FALSE
B/NewYork/09/2016	2016-02-07T05:00:00Z	2016-04-20T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	50	FALSE
B/NewYork/19/2015	2015-04-08T04:00:00Z	2015-09-03T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	53	FALSE
B/NewYork/01/2015	2015-01-19T05:00:00Z	2015-03-30T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	54	FALSE
B/NewYork/13/2014	2014-06-28T04:00:00Z	2014-09-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	55	FALSE
B/NewYork/12/2014	2014-07-01T04:00:00Z	2014-09-15T04:00:00Z	B/H0N0	Victoria	 New York State Department of Health 	 Centers for Disease Control and Prevention	56	FALSE
B/NewYork/54/2016	2016-12-02T05:00:00Z	2017-01-17T05:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	68	FALSE
B/NewYork/24/2016	2016-04-06T04:00:00Z	2016-07-15T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	69	FALSE
B/NewYork/18/2016	2016-03-14T04:00:00Z	2016-07-07T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	71	FALSE
B/NewYork/03/2016	2016-02-01T05:00:00Z	2016-04-20T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	72	FALSE
B/NewYork/05/2016	2016-02-04T05:00:00Z	2016-03-17T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	74	FALSE
B/NewYork/04/2016	2016-02-02T05:00:00Z	2016-03-17T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	75	FALSE
B/NewYork/01/2016	2016-01-06T05:00:00Z	2016-03-17T04:00:00Z	B/H0N0	Victoria	 New York City Department of Health 	 Centers for Disease Control and Prevention	76	FALSE
B/NewYork/24/2015	2015-12-28T05:00:00Z	2016-02-10T05:00:00Z	B/H0N0	Victoria	 New York Presbyterian Hospital Columbia University Medical Center, Microbiology Department 	 Centers for Disease Control and Prevention	81	FALSE
